Name,Link
Staravia,https://i.imgur.com/86eTzsU.png
Starly,https://i.imgur.com/LYQCrWV.png
Steelix,https://i.imgur.com/FqrhhNg.png
Stunky,https://i.imgur.com/8d9betC.png
Sudowoodo,https://i.imgur.com/QgFbpmd.png
Swinub,https://i.imgur.com/iCR08Nx.png
Sylveon,https://i.imgur.com/YSZwf5B.png
Tangela,https://i.imgur.com/sHTI34T.png
Tangrowth,https://i.imgur.com/fCe9r1u.png
Teddiursa,https://i.imgur.com/1jjkLdG.png
Tentacool,https://i.imgur.com/fkCq5yz.png
Tentacruel,https://i.imgur.com/r9ZdfwU.png
Thundurus,https://i.imgur.com/AMagmdd.png
Togekiss,https://i.imgur.com/GXMH4r3.png
Togepi,https://i.imgur.com/fqtbEoy.png
Togetic,https://i.imgur.com/4lhqnhw.png
Tornadus,https://i.imgur.com/6mdn48w.png
Torterra,https://i.imgur.com/qriH3mr.png
Toxicroak,https://i.imgur.com/w8PsVZY.png
Turtwig,https://i.imgur.com/ydmAlRw.png
Typhlosion,https://i.imgur.com/S3S1UdL.png
Umbreon,https://i.imgur.com/JNqpNgd.png
Unown,https://i.imgur.com/Wooby7D.png
Ursaluna,https://i.imgur.com/S3PaLWD.png
Ursaring,https://i.imgur.com/zf6UVCe.png
Uxie,https://i.imgur.com/E084b8j.png
Vaporeon,https://i.imgur.com/WqBPqWg.png
Vespiquen,https://i.imgur.com/LcNNAbM.png
Voltorb,https://i.imgur.com/XuSwIpQ.png
Vulpix,https://i.imgur.com/j8GSg21.png
Walrein,https://i.imgur.com/6ciM3yC.png
Weavile,https://i.imgur.com/8hO3z9S.png
Whiscash,https://i.imgur.com/pi51SNJ.png
Wormadam,https://i.imgur.com/CpGmvfB.png
Wurmple,https://i.imgur.com/9UOa7Ng.png
Wyredeer,https://i.imgur.com/NZt50NW.png
Yanma,https://i.imgur.com/iYm336l.png
Yanmega,https://i.imgur.com/IR8RwkF.png
Zoroark,https://i.imgur.com/3yHI5DO.png
Zorua,https://i.imgur.com/nSY3Rrb.png
Zubat,https://i.imgur.com/0Cf63CN.png
